ablation,benchmark,domain,method,metric,value
without_fault_localizer,tau3,retail,adagentflow_rt,recovery_success_rate,0.25
without_fault_localizer,tau3,retail,adagentflow_rt,dead_letter_rate,0.5
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8888888888888888
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7272727272727273
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7777777777777778
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7272727272727273
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8333333333333334
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.8888888888888888
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7142857142857143
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,adagentflow_rt,recovery_success_rate,0.7272727272727273
,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
,tau3,telecom,retry_only,recovery_success_rate,0.0
,tau3,telecom,retry_only,dead_letter_rate,0.25
,tau3,telecom,schema_only,recovery_success_rate,0.0
,tau3,telecom,schema_only,dead_letter_rate,0.25
,tau3,telecom,vanilla,recovery_success_rate,0.0
,tau3,telecom,vanilla,dead_letter_rate,0.5
without_bounded_recovery,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_bounded_recovery,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_contract_monitor,tau3,telecom,adagentflow_rt,recovery_success_rate,0.0
without_contract_monitor,tau3,telecom,adagentflow_rt,dead_letter_rate,0.25
without_event_trace,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_event_trace,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
without_fault_localizer,tau3,telecom,adagentflow_rt,recovery_success_rate,0.45454545454545453
without_fault_localizer,tau3,telecom,adagentflow_rt,dead_letter_rate,0.16666666666666666
