GSRT,TCRR,TSR,TUE,ablation,benchmark,benchmark_adapter_mode,contaminated_artifact_count,contract_violation_rate,cost_per_successful_task,dead_letter_rate,domain,extra_llm_calls,extra_tool_calls,fault_class_counts,fault_propagation_depth,fault_rate,max_concurrency,mean_time_to_detect_ms,mean_time_to_recover_ms,method,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_compliance,recovery_action_counts,recovery_success_rate,retry_amplification_factor,silent_failure_rate,source,stress,suite_run,task_success,task_success_rate,throughput_tasks_per_min,total_tasks,trace_event_count
2.0,1.0,0.0,0.0,without_event_trace,tau3,external,0,1.0,0.0,1.0,retail,24,0,{},0,0.2,1,0,0,adagentflow_rt,18012,19897,20306,1.0,{},0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p2_tool_timeout,parti__without_event_trace.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p2_tool_timeout,parti__without_event_trace",0.0,0.0,3.3501149275537645,12,0
2.0,1.0,0.0,0.0,without_fault_localizer,tau3,external,0,1.0,0.0,1.0,retail,24,0,{},0,0.2,1,0,0,adagentflow_rt,18495,19869,19903,1.0,"{'quick_repair': 12, 'retry_same_agent': 12}",0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p2_tool_timeout,parti__without_fault_localizer.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p2_tool_timeout,parti__without_fault_localizer",0.0,0.0,3.398727365419837,12,60
4.083333333333333,1.0,0.0,0.48475,,tau3,external,0,0.0,0.0,1.0,retail,24,13,{},0,0.0,5,0,0,retry_only,21091,21524,21701,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c5_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c5_f0p0_tool_timeout,parti",0.0,0.0,2.887831799841169,12,0
3.25,1.0,0.16666666666666666,0.43191666666666667,,tau3,external,0,0.0,36.5,0.8333333333333334,retail,24,14,{},0,0.1,5,0,0,retry_only,21237,21452,21630,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c5_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c5_f0p1_tool_timeout,parti",0.16666666666666666,0.16666666666666666,2.8454561621910015,12,0
4.333333333333333,1.0,0.08333333333333333,0.4764166666666667,,tau3,external,0,0.0,81.0,0.9166666666666666,retail,24,21,{},0,0.2,5,0,0,retry_only,21307,21717,21883,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c5_f0p2_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c5_f0p2_tool_timeout,parti",0.08333333333333333,0.08333333333333333,2.854435674102736,12,0
5.5,1.0,0.25,0.0,,tau3,external,0,0.0,32.333333333333336,0.75,telecom,24,37,{},0,0.0,1,0,0,retry_only,20754,21049,21682,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p0_tool_timeout,parti",0.25,0.25,2.890834849014105,12,0
6.083333333333333,1.0,0.25,0.03475,,tau3,external,0,0.0,34.666666666666664,0.75,telecom,24,44,{},0,0.1,1,0,0,retry_only,20769,21092,21562,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p1_tool_timeout,parti",0.25,0.25,2.90390494551145,12,0
7.083333333333333,1.0,0.25,0.022250000000000002,,tau3,external,0,0.0,39.0,0.75,telecom,24,57,{},0,0.2,1,0,0,retry_only,20756,21561,21570,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p2_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p2_tool_timeout,parti",0.25,0.25,2.8690516987176937,12,0
1.3333333333333333,1.0,0.3333333333333333,0.0,without_bounded_recovery,tau3,external,0,1.0,9.0,0.6666666666666666,telecom,12,0,{},0,0.2,1,0,0,adagentflow_rt,13277,13495,13498,1.0,{'quick_repair': 12},0.3333333333333333,1.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p2_tool_timeout,parti__without_bounded_recovery.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p2_tool_timeout,parti__without_bounded_recovery",0.3333333333333333,0.3333333333333333,4.686157611100986,12,36
5.0,1.0,0.25,0.013916666666666667,without_contract_monitor,tau3,external,0,0.0,22.333333333333332,0.75,telecom,0,31,{},0,0.2,1,0,0,adagentflow_rt,7362,7740,8587,1.0,{},0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p2_tool_timeout,parti__without_contract_monitor.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p2_tool_timeout,parti__without_contract_monitor",0.25,0.25,8.047929893588481,12,12
1.1666666666666667,1.0,0.4166666666666667,0.0,without_event_trace,tau3,external,0,1.0,9.6,0.5833333333333334,telecom,24,0,{},0,0.2,1,0,0,adagentflow_rt,19794,19856,19916,1.0,{},0.4166666666666667,1.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p2_tool_timeout,parti__without_event_trace.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p2_tool_timeout,parti__without_event_trace",0.4166666666666667,0.4166666666666667,3.034479270713482,12,0
1.6666666666666667,1.0,0.16666666666666666,0.0,without_fault_localizer,tau3,external,0,1.0,24.0,0.8333333333333334,telecom,24,0,{},0,0.2,1,0,0,adagentflow_rt,19929,20107,20124,1.0,"{'quick_repair': 12, 'retry_same_agent': 12}",0.16666666666666666,1.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c1_f0p2_tool_timeout,parti__without_fault_localizer.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c1_f0p2_tool_timeout,parti__without_fault_localizer",0.16666666666666666,0.16666666666666666,3.016755563190554,12,60
6.666666666666667,1.0,0.25,0.022333333333333334,,tau3,external,0,0.0,37.0,0.75,telecom,24,51,{},0,0.0,5,0,0,retry_only,21824,22318,22575,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c5_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c5_f0p0_tool_timeout,parti",0.25,0.25,2.7573318219070018,12,0
6.333333333333333,1.0,0.4166666666666667,0.008333333333333333,,tau3,external,0,0.0,22.4,0.5833333333333334,telecom,24,52,{},0,0.1,5,0,0,retry_only,21480,22691,22692,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c5_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c5_f0p1_tool_timeout,parti",0.4166666666666667,0.4166666666666667,2.738079845450604,12,0
5.416666666666667,1.0,0.3333333333333333,0.008333333333333333,,tau3,external,0,0.0,24.5,0.6666666666666666,telecom,24,38,{},0,0.2,5,0,0,retry_only,21281,22493,22567,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_telecom_c5_f0p2_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_telecom_c5_f0p2_tool_timeout,parti",0.3333333333333333,0.3333333333333333,2.7878557904151973,12,0
